Subject,Description,Start Date,End Date,All Day Event
"ğŸš´  30-40 miles","Long Ride. Howâ€™s your fitness compared to previous years? 30-40 miles",04/22/2018,04/22/2018,True
"ğŸš´  Any distance","Short Ride. Are you sore from yesterday? Write down training goals. Order new gear (especially new tires!) Any Distance",04/23/2018,04/23/2018,True
"ğŸš´  20 miles","Moderate Ride 20 miles",04/24/2018,04/24/2018,True
"ğŸ‹  Cross-training","Cross-training",04/25/2018,04/25/2018,True
"ğŸš´  Easy ride","Easy Ride",04/26/2018,04/26/2018,True
"ğŸ˜´  Rest","REST DAY",04/27/2018,04/27/2018,True
"ğŸš´  35 miles","Long Slow Ride 35 miles",04/28/2018,04/28/2018,True
"ğŸš´  20 miles","Moderate Ride with hills, work on high cadence even on uphills 20 miles",04/29/2018,04/29/2018,True
"ğŸ˜´  Rest","REST DAY",04/30/2018,04/30/2018,True
"ğŸš´  30 miles","Long Slow Ride 30 miles",05/01/2018,05/01/2018,True
"ğŸ‹  Cross-training","Cross-training and Core Strength.",05/02/2018,05/02/2018,True
"ğŸš´  20 miles","Moderate Ride with short intervals. Push intervals fairly hard 20 miles",05/03/2018,05/03/2018,True
"ğŸš´  Short ride","Easy Short Ride with a fun destination",05/04/2018,05/04/2018,True
"ğŸš´  40-45 miles","Long Slow Ride 40-45 miles",05/05/2018,05/05/2018,True
"ğŸš´  ğŸ‹  Ride and Strength","AM Moderate Ride, PM Core Strength â€“ really push the core exercises nearly to exhaustion. Count reps to establish a baseline. (so you can do at LEAST that many next time)",05/06/2018,05/06/2018,True
"ğŸ˜´  Rest","REST DAY",05/07/2018,05/07/2018,True
"ğŸš´  30 miles","Long Slow Ride 30 miles",05/08/2018,05/08/2018,True
"ğŸ‹  Cross-training","Cross-training",05/09/2018,05/09/2018,True
"ğŸš´  Intervals","Moderate-paced Ride with longer intervals than last week. Some intervals with high cadence, some with higher gears.",05/10/2018,05/10/2018,True
"ğŸ˜´  Rest","REST DAY",05/11/2018,05/11/2018,True
"ğŸš´  50 miles","Long Slow Ride 50 miles",05/12/2018,05/12/2018,True
"ğŸš´  30 miles","AM: Moderate Ride; PM: Core Strength 30 miles",05/13/2018,05/13/2018,True
"ğŸ˜´  Rest","REST DAY",05/14/2018,05/14/2018,True
"ğŸš´  35 miles","Long Slow Ride 35 miles",05/15/2018,05/15/2018,True
"ğŸ‹  Cross-training","Cross-training and Core Strength",05/16/2018,05/16/2018,True
"ğŸš´  20 miles","Moderate Ride with intervals and hard gears 20 miles",05/17/2018,05/17/2018,True
"ğŸ˜´  Rest","REST DAY",05/18/2018,05/18/2018,True
"ğŸš´  55 miles","Long Slow Ride 55 miles",05/19/2018,05/19/2018,True
"ğŸš´  30 miles","Moderate Ride with Hills 30 miles",05/20/2018,05/20/2018,True
"ğŸ‹  Cross-training","Cross-training and Core Strength",05/21/2018,05/21/2018,True
"ğŸš´  30 miles","Slow Ride 30 miles",05/22/2018,05/22/2018,True
"ğŸ‹  Cross-training","Aerobic Cross-training and Core Strength",05/23/2018,05/23/2018,True
"ğŸš´  25 miles","Moderate Ride with easy gears and high cadence 25 miles",05/24/2018,05/24/2018,True
"ğŸ˜´  Rest","REST DAY Visit local bike shop for nutrition supplies",05/25/2018,05/25/2018,True
"ğŸš´  60-70 miles","Long Slow Ride 60-70 miles",05/26/2018,05/26/2018,True
"ğŸš´  45 miles","AM: Moderate Ride with intervals; PM: Core Strength 45 miles",05/27/2018,05/27/2018,True
"ğŸ˜´  Rest","REST DAY",05/28/2018,05/28/2018,True
"ğŸš´  30 miles","Slow Ride 30 miles",05/29/2018,05/29/2018,True
"ğŸš´  25 miles","Hard Ride (as fast as possible â€“ Time yourself) 25 miles",05/30/2018,05/30/2018,True
"ğŸ‹  Cross-training","Aerobic Cross-training and Core Strength",05/31/2018,05/31/2018,True
"ğŸ˜´  Rest","REST DAY",06/01/2018,06/01/2018,True
"ğŸš´  70-80 miles","Long Slow Ride with some short sprints 70-80 miles",06/02/2018,06/02/2018,True
"ğŸš´  40 miles","Moderate Ride with large hills or long intervals; PM: Core Strength 40 miles",06/03/2018,06/03/2018,True
"ğŸ˜´  Rest","REST DAY",06/04/2018,06/04/2018,True
"ğŸš´  45 miles","Slow Ride 45 miles",06/05/2018,06/05/2018,True
"ğŸ‹  Cross-training","Cross-training and Core Strength",06/06/2018,06/06/2018,True
"ğŸš´  25 miles","Moderate Ride with Intervals 25 miles",06/07/2018,06/07/2018,True
"ğŸ˜´  Rest","REST DAY (START OF RECOVERY WEEK) Relax, enjoy sleep and eat more!",06/08/2018,06/08/2018,True
"ğŸ‹  Cross-training","Cross-training or Rest Day",06/09/2018,06/09/2018,True
"ğŸš´  20 miles","Moderate Ride with easy gears and no hills. RELAX! 20 miles",06/10/2018,06/10/2018,True
"ğŸ˜´  Rest","REST DAY",06/11/2018,06/11/2018,True
"ğŸš´  20 miles","AM: Slow Ride; PM: Core Strength 20 miles",06/12/2018,06/12/2018,True
"ğŸ˜´  Rest","REST DAY",06/13/2018,06/13/2018,True
"ğŸš´  15 miles","Cross-training or Moderate Ride; RELAX! 15 miles",06/14/2018,06/14/2018,True
"ğŸ˜´  Rest","REST DAY Visit local bike shop for nutrition supplies.",06/15/2018,06/15/2018,True
"ğŸš´  80-100 miles","Long Slow Ride. Experiment with eating and drinking during each long ride. 80-100 miles",06/16/2018,06/16/2018,True
"ğŸš´  65 miles","AM: Moderate Ride with Hills; PM: Core Strength 65 miles",06/17/2018,06/17/2018,True
"ğŸ˜´  Rest","REST DAY",06/18/2018,06/18/2018,True
"ğŸš´  40 miles","Long Slow Ride 40 miles",06/19/2018,06/19/2018,True
"ğŸš´  50 miles","Hard Ride with group and/or intervals. 50 miles",06/20/2018,06/20/2018,True
"ğŸ‹  Cross-training","Aerobic Cross-training and Core Strength",06/21/2018,06/21/2018,True
"ğŸ˜´  Rest","REST DAY",06/22/2018,06/22/2018,True
"ğŸš´  80-100 miles","Long Slow Ride 80-100 miles",06/23/2018,06/23/2018,True
"ğŸš´  50 miles","AM: Hard Ride with Hills or Intervals; PM: Core Strength 50 miles",06/24/2018,06/24/2018,True
"ğŸ˜´  Rest","REST DAY",06/25/2018,06/25/2018,True
"ğŸš´  50 miles","Long Slow Ride 50 miles",06/26/2018,06/26/2018,True
"ğŸš´  25 miles","Hard Ride (as fast as possible â€“ Compare time to May 27th) 25 miles",06/27/2018,06/27/2018,True
"ğŸ‹  Cross-training","Cross-training and Core Strength",06/28/2018,06/28/2018,True
"ğŸ˜´  Rest","REST DAY Visit local bike shop for nutrition supplies.",06/29/2018,06/29/2018,True
"ğŸš´  90-100 miles","Long Slow Ride. Eat and drink frequently during and after the next few rides. Practice your nutrition plan. 90-100 miles",06/30/2018,06/30/2018,True
"ğŸš´  70 miles","AM: Slow Ride with few short sprints; PM: Core Strength 70 miles",07/01/2018,07/01/2018,True
"ğŸ˜´  Rest","REST DAY (START TO TAPER for the EVENT) Sleep more, eat more!",07/02/2018,07/02/2018,True
"ğŸš´  35 miles","Slow Ride 35 miles",07/03/2018,07/03/2018,True
"ğŸ‹  Cross-training","Cross-training and Core Strength",07/04/2018,07/04/2018,True
"ğŸš´  25 miles","AM: Moderate Ride with Hills; PM: Core Strength 25 miles",07/05/2018,07/05/2018,True
"ğŸ˜´  Rest","REST DAY",07/06/2018,07/06/2018,True
"ğŸš´  70-90 miles","Long Slow Ride. Very slow and even shorter if feeling fatigued. Eat frequently. 70-90 miles",07/07/2018,07/07/2018,True
"ğŸš´  50-60 miles","AM: Hard Ride with Hills and long cool down; PM: Core Strength 50-60 miles",07/08/2018,07/08/2018,True
"ğŸ˜´  Rest","REST DAY",07/09/2018,07/09/2018,True
"ğŸš´  20 miles","Slow Ride, followed by heavy core strength training. Use 10% harder resistance and more reps than usual. 20 miles",07/10/2018,07/10/2018,True
"ğŸš´  10 miles","Very Slow Ride with few short sprints 10 miles",07/11/2018,07/11/2018,True
"ğŸš´  15 miles","Hard Ride (as fast as possible) with long cool down 15 miles hard + 5-10 mile cool down",07/12/2018,07/12/2018,True
"ğŸ˜´  Rest","REST DAY Visit local bike shop, make final repairs",07/13/2018,07/13/2018,True
"ğŸš´  75 miles","Long Slow Ride, followed by light core strength and a large meal 75 miles",07/14/2018,07/14/2018,True
"ğŸš´  30-40 miles","Moderate Ride. Skip or shorten this ride if feeling tired. 30-40 miles",07/15/2018,07/15/2018,True
"ğŸš´  Short ride","Very Short Ride, followed by core strength with 20% more repetitions than usual but same resistance â€“ push this pretty hard, but use caution to avoid injury",07/16/2018,07/16/2018,True
"ğŸš´  40 miles","Slow Ride (even less if tired) 40 miles",07/17/2018,07/17/2018,True
"ğŸ‹  Cross-training","Gentle Cross-training or Rest Day",07/18/2018,07/18/2018,True
"ğŸ˜´  Rest","REST DAY (Preview the Course by car)",07/19/2018,07/19/2018,True
"ğŸš´  5-10 miles","Easy Ride before you go to the VeloSano Kickoff Party! 5-10 miles",07/20/2018,07/20/2018,True
"ğŸ‰  VELOSANO RIDE AND EVENTS","VELOSANO RIDE AND EVENTS",07/21/2018,07/21/2018,True
"ğŸ‰  VELOSANO 2-DAY RIDE AND EVENTS","VELOSANO 2-DAY RIDE AND EVENTS",07/22/2018,07/22/2018,True
"ğŸ‹  Cross-training","Active recovery - Cross-training",07/23/2018,07/23/2018,True
"ğŸš´  Any distance","Active recovery; Ride any distance",07/24/2018,07/24/2018,True
"ğŸ˜´  Rest","REST DAY",07/25/2018,07/25/2018,True
"ğŸ›  Bike shop","Visit Local Bike shop sometime soon, say thanks for support",07/26/2018,07/26/2018,True
